"Save draft","Save draft"
Code,Code
Location,Location
Store,Store
"Published version","Published version"
Action,Action
"Publish new version","Publish new version"
Archive,Archive
"Edit draft","Edit draft"
"Save draft changes","Save draft changes"
"Consent event history","Consent event history"
"Event ID","Event ID"
"Customer ID","Customer ID"
Decision,Decision
Source,Source
"Store ID","Store ID"
Filter,Filter
ID,ID
Date,Date
"Customer / subject","Customer / subject"
Consent,Consent
"Create cookie group","Create cookie group"
"Displayed name","Displayed name"
Description,Description
"Save group","Save group"
"Create cookie definition","Create cookie definition"
Name,Name
"Lifetime in seconds","Lifetime in seconds"
"Save cookie","Save cookie"
"Active catalog","Active catalog"
Group,Group
"Cookies / storage","Cookies / storage"
Yes,Yes
No,No
"Rejected cookie diagnostics","Rejected cookie diagnostics"
"Only visible cookie names and domains are recorded; values and HttpOnly cookies are never collected.","Only visible cookie names and domains are recorded; values and HttpOnly cookies are never collected."
"Cookie name","Cookie name"
Domain,Domain
"All statuses","All statuses"
"Unknown only","Unknown only"
"Known only","Known only"
Unknown,Unknown
Count,Count
"Last seen","Last seen"
"Create inactive draft","Create inactive draft"
"Current queue","Current queue"
Started,Started
Finished,Finished
Job,Job
Status,Status
Found,Found
Processed,Processed
Skipped,Skipped
Failed,Failed
"Request %1","Request %1"
"Subject reference","Subject reference"
Type,Type
"Store view ID","Store view ID"
"Customer-safe information","Customer-safe information"
"Due at","Due at"
Created,Created
Updated,Updated
Completed,Completed
"Customer-safe reason","Customer-safe reason"
"Administrative reason","Administrative reason"
"Confirm GDPR request approval","Confirm GDPR request approval"
"The approved destructive request will be queued for processing.","The approved destructive request will be queued for processing."
Approve,Approve
"Confirm GDPR request rejection","Confirm GDPR request rejection"
"The decision is append-only and will be visible in the request timeline.","The decision is append-only and will be visible in the request timeline."
Reject,Reject
"Audited retry","Audited retry"
"Administrative retry reason","Administrative retry reason"
"Confirm audited retry","Confirm audited retry"
"Completed checkpoints are preserved and only retryable work will be queued.","Completed checkpoints are preserved and only retryable work will be queued."
Retry,Retry
Timeline,Timeline
Event,Event
Transition,Transition
Actor,Actor
"Correlation ID","Correlation ID"
"Safe metadata","Safe metadata"
Jobs,Jobs
Checkpoint,Checkpoint
Attempts,Attempts
"Error code","Error code"
"Back to requests","Back to requests"
"Export GDPR requests CSV","Export GDPR requests CSV"
"Create customer data export","Create customer data export"
"Administrative justification","Administrative justification"
"Queue data export","Queue data export"
"Cookie consent","Cookie consent"
"Manage requests concerning the personal data associated with your account.","Manage requests concerning the personal data associated with your account."
"Current password","Current password"
"You will be asked to confirm your identity using the store sign-in provider.","You will be asked to confirm your identity using the store sign-in provider."
"I understand that this operation is irreversible.","I understand that this operation is irreversible."
"Consent history","Consent history"
Version,Version
location,location
decision,decision
"Withdraw consent","Withdraw consent"
"Request history","Request history"
Information,Information
type,type
status,status
Download,Download
"New privacy erasure request","New privacy erasure request"
"A new account erasure request requires administrative review.","A new account erasure request requires administrative review."
"Request reference: %request_id","Request reference: %request_id"
"Request type: %request_type","Request type: %request_type"
"SLA due: %due_at","SLA due: %due_at"
"Privacy automation requires attention","Privacy automation requires attention"
"A privacy automation job reached a terminal failure and requires review.","A privacy automation job reached a terminal failure and requires review."
"Job ID: %job_id","Job ID: %job_id"
"Job type: %job_type","Job type: %job_type"
"Error code: %error_code","Error code: %error_code"
"Your account deletion is complete","Your account deletion is complete"
"Your account deletion request has been completed.","Your account deletion request has been completed."
"Some transaction records may remain in anonymized form where required by law.","Some transaction records may remain in anonymized form where required by law."
"Your privacy request was approved","Your privacy request was approved"
"Your privacy request was approved and queued for processing.","Your privacy request was approved and queued for processing."
"Your privacy request is complete","Your privacy request is complete"
"Your privacy request has been completed.","Your privacy request has been completed."
"Your privacy request needs review","Your privacy request needs review"
"We could not complete your privacy request automatically. Our team needs to review it.","We could not complete your privacy request automatically. Our team needs to review it."
"Your privacy request was reviewed","Your privacy request was reviewed"
"Your privacy request could not be approved.","Your privacy request could not be approved."
"We received your privacy request","We received your privacy request"
"We received your privacy request.","We received your privacy request."
"Your inactive account is scheduled for removal","Your inactive account is scheduled for removal"
"Your inactive account is scheduled for automated erasure under the store retention policy.","Your inactive account is scheduled for automated erasure under the store retention policy."
"Scheduled processing time: %scheduled_at","Scheduled processing time: %scheduled_at"
"If this is unexpected, contact the store before the scheduled time.","If this is unexpected, contact the store before the scheduled time."
Kkkonrad,Kkkonrad
"GDPR Settings","GDPR Settings"
General,General
"Enable GDPR","Enable GDPR"
"Disabling stops new storefront actions and jobs but preserves configuration and read-only history.","Disabling stops new storefront actions and jobs but preserves configuration and read-only history."
"Apply Initial Policy Profile","Apply Initial Policy Profile"
"A one-shot preset. It does not enable the main module switch. The global informational profile allows unmanaged optional integrations and requires legal review.","A one-shot preset. It does not enable the main module switch. The global informational profile allows unmanaged optional integrations and requires legal review."
"Profile Application Approved","Profile Application Approved"
"Confirm after reviewing the profile with the responsible privacy/legal owner.","Confirm after reviewing the profile with the responsible privacy/legal owner."
"Personal Data Rights","Personal Data Rights"
"Show Privacy Dashboard","Show Privacy Dashboard"
"Request SLA (Days)","Request SLA (Days)"
"Allow Personal Data Export Requests","Allow Personal Data Export Requests"
"Allow Anonymization Requests","Allow Anonymization Requests"
"Order Statuses Eligible for Anonymization","Order Statuses Eligible for Anonymization"
"Orders outside these statuses block customer-initiated anonymization.","Orders outside these statuses block customer-initiated anonymization."
"Custom Customer PII Attributes","Custom Customer PII Attributes"
"Comma-separated user-defined EAV attribute codes approved for removal during anonymization.","Comma-separated user-defined EAV attribute codes approved for removal during anonymization."
"Custom Address PII Attributes","Custom Address PII Attributes"
"Comma-separated user-defined customer-address EAV attribute codes approved for removal.","Comma-separated user-defined customer-address EAV attribute codes approved for removal."
"Sales Document Protection (Days)","Sales Document Protection (Days)"
"Customer anonymization and erasure are blocked while any order remains inside this period.","Customer anonymization and erasure are blocked while any order remains inside this period."
"Allow Account Erasure Requests","Allow Account Erasure Requests"
"Export File Lifetime (Hours)","Export File Lifetime (Hours)"
"Generated files are deleted after this period.","Generated files are deleted after this period."
"Processing Batch Size","Processing Batch Size"
"Notification Payload Lifetime (Hours)","Notification Payload Lifetime (Hours)"
"Encrypted recipient data is removed after delivery or this lifetime.","Encrypted recipient data is removed after delivery or this lifetime."
"Worker Time Budget (Seconds)","Worker Time Budget (Seconds)"
"The worker stops claiming new jobs after this time; an active job is allowed to finish.","The worker stops claiming new jobs after this time; an active job is allowed to finish."
"Worker Memory Budget (MB)","Worker Memory Budget (MB)"
"Automatic Job Attempts","Automatic Job Attempts"
"Applies to autonomous jobs. Request-linked and partially completed jobs require audited manual retry.","Applies to autonomous jobs. Request-linked and partially completed jobs require audited manual retry."
"Initial Retry Delay (Seconds)","Initial Retry Delay (Seconds)"
"Subsequent attempts use exponential backoff capped at one hour.","Subsequent attempts use exponential backoff capped at one hour."
"Privacy Request Limit per Hour","Privacy Request Limit per Hour"
"Per customer, request type and store view. The hard maximum is 20.","Per customer, request type and store view. The hard maximum is 20."
"Retention Automation","Retention Automation"
"Automatically Anonymize Old Orders","Automatically Anonymize Old Orders"
"Old Order Age (Days)","Old Order Age (Days)"
"Old Order Statuses","Old Order Statuses"
"Only orders in these statuses are candidates for automatic anonymization.","Only orders in these statuses are candidates for automatic anonymization."
"Process Abandoned Accounts","Process Abandoned Accounts"
"Abandoned Account Age (Days)","Abandoned Account Age (Days)"
"Abandoned Account Action","Abandoned Account Action"
"Erasure should only be selected after legal approval. Anonymization is the safe default.","Erasure should only be selected after legal approval. Anonymization is the safe default."
"Abandoned Account Reference Date","Abandoned Account Reference Date"
"Warn Before Automated Erasure","Warn Before Automated Erasure"
"Applies only to the erasure action and should be enabled after privacy/legal approval.","Applies only to the erasure action and should be enabled after privacy/legal approval."
"Automated Erasure Warning (Days)","Automated Erasure Warning (Days)"
"Form Consents","Form Consents"
"Enable Form Consents","Enable Form Consents"
"Registration Form","Registration Form"
"Newsletter Form","Newsletter Form"
"Contact Form","Contact Form"
Checkout,Checkout
"Link Guest Consent Evidence on Login","Link Guest Consent Evidence on Login"
"Disabled by default. Uses a random HttpOnly subject key and an append-only mapping; historical events are not modified.","Disabled by default. Uses a random HttpOnly subject key and an append-only mapping; historical events are not modified."
"Cookie Consent","Cookie Consent"
"Enable Cookie Consent","Enable Cookie Consent"
"Fallback When Cookie Consent Is Disabled","Fallback When Cookie Consent Is Disabled"
"Allow unmanaged can activate optional integrations without a recorded choice. Obtain legal approval before using it.","Allow unmanaged can activate optional integrations without a recorded choice. Obtain legal approval before using it."
"Unmanaged Fallback Legal Approval","Unmanaged Fallback Legal Approval"
"Confirm only after approval by the responsible privacy/legal owner.","Confirm only after approval by the responsible privacy/legal owner."
"Show Cookie Banner","Show Cookie Banner"
"Track Rejected Cookies","Track Rejected Cookies"
"Never stores cookie values. Enabling adds a small frontend and database overhead.","Never stores cookie values. Enabling adds a small frontend and database overhead."
"Track Unknown Cookies Only","Track Unknown Cookies Only"
"Enable Regional Display Rules","Enable Regional Display Rules"
"Trusted Proxy Country Header","Trusted Proxy Country Header"
"The web server or CDN must remove client-supplied copies and set this header itself.","The web server or CDN must remove client-supplied copies and set this header itself."
"Trusted Proxy Subdivision Header","Trusted Proxy Subdivision Header"
"Used for ISO 3166-2 subdivisions such as US-CA.","Used for ISO 3166-2 subdivisions such as US-CA."
"Banner Regional Mode","Banner Regional Mode"
"Banner Countries / Regions","Banner Countries / Regions"
"Comma-separated ISO codes, for example PL,DE,US-CA. Resolver failure always uses strict fallback.","Comma-separated ISO codes, for example PL,DE,US-CA. Resolver failure always uses strict fallback."
"Cookie Consent Lifetime (Days)","Cookie Consent Lifetime (Days)"
"Enable Cookie Wall / Lock Screen","Enable Cookie Wall / Lock Screen"
"Disabled by default. This mode may be unlawful in some contexts and never blocks the privacy-policy link.","Disabled by default. This mode may be unlawful in some contexts and never blocks the privacy-policy link."
"Legal Approval Confirmed","Legal Approval Confirmed"
"Banner Text","Banner Text"
"Plain text. Links are configured separately to avoid unsafe HTML.","Plain text. Links are configured separately to avoid unsafe HTML."
"Settings Modal Title","Settings Modal Title"
"Settings Modal Text","Settings Modal Text"
"Google Consent Mode v2","Google Consent Mode v2"
"Enable Google Consent Mode","Enable Google Consent Mode"
"Implementation Mode","Implementation Mode"
"In Basic mode every optional Google tag must additionally be gated by the Cookie Consent API.","In Basic mode every optional Google tag must additionally be gated by the Cookie Consent API."
"Default Consent Profile","Default Consent Profile"
"No profile grants optional storage before the visitor choice. Custom uses the values below.","No profile grants optional storage before the visitor choice. Custom uses the values below."
"Default ad_storage","Default ad_storage"
"Default analytics_storage","Default analytics_storage"
"Default functionality_storage","Default functionality_storage"
"Default personalization_storage","Default personalization_storage"
"Default security_storage","Default security_storage"
"Default ad_user_data","Default ad_user_data"
"Default ad_personalization","Default ad_personalization"
"Consent Debug Logging","Consent Debug Logging"
"Enable only during diagnostics; no personal data is written to the console.","Enable only during diagnostics; no personal data is written to the console."
"Email Notifications","Email Notifications"
"Request Submitted Template","Request Submitted Template"
"Request Approved Template","Request Approved Template"
"Request Rejected Template","Request Rejected Template"
"Request Completed Template","Request Completed Template"
"Request Failed Template","Request Failed Template"
"Notify GDPR Administrators","Notify GDPR Administrators"
"Sends alerts for new erasure requests and terminal automation failures.","Sends alerts for new erasure requests and terminal automation failures."
"Administrator Alert Roles","Administrator Alert Roles"
"Only active administrator users assigned to the selected roles receive alerts.","Only active administrator users assigned to the selected roles receive alerts."
"New Erasure Request Admin Template","New Erasure Request Admin Template"
"Automation Failure Admin Template","Automation Failure Admin Template"
"Automated Erasure Warning Template","Automated Erasure Warning Template"
"Public ID","Public ID"
"Store View ID","Store View ID"
"SLA Due","SLA Due"
Actions,Actions
"Show cookie details","Show cookie details"
"Show Settings Button After Consent","Show Settings Button After Consent"
"When enabled, a floating button reopens cookie settings after the visitor has saved a choice. When disabled, use your own link calling window.kkkonradConsent.open() if re-access is required.","When enabled, a floating button reopens cookie settings after the visitor has saved a choice. When disabled, use your own link calling window.kkkonradConsent.open() if re-access is required."
